,departure_time,arrival_time,distance,duration,days_left,price,origin_airport_capacity,arrival_airport_capacity,origin_GDP,des_GDP,carrier_category,source_city_Chennai,source_city_Hyderabad,source_city_Kolkata,source_city_Mumbai,source_city_New Delhi,destination_city_Chennai,destination_city_Hyderabad,destination_city_Kolkata,destination_city_Mumbai,destination_city_New Delhi
46,4,4,1160.540574,2.33,2,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
47,4,4,1160.540574,2.5,2,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
48,1,1,1160.540574,2.17,2,5956,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
49,2,2,1160.540574,2.0,2,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
50,1,4,1160.540574,2.08,2,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
51,1,4,1160.540574,2.17,2,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
52,2,5,1160.540574,2.17,2,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
53,2,5,1160.540574,2.25,2,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
54,4,0,1160.540574,2.25,2,6375,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
55,0,2,1160.540574,2.17,2,7530,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
56,0,2,1160.540574,2.17,2,7530,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
57,4,0,1160.540574,2.33,2,7530,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
58,4,0,1160.540574,2.17,2,7845,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
59,1,4,1160.540574,2.25,3,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
60,1,4,1160.540574,2.33,3,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
61,2,5,1160.540574,2.33,3,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
62,4,4,1160.540574,2.08,3,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
63,4,0,1160.540574,2.25,3,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
64,4,4,1160.540574,2.33,3,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
65,1,4,1160.540574,2.17,3,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
66,2,5,1160.540574,2.25,3,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
67,4,0,1160.540574,2.33,3,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
68,2,5,1160.540574,2.33,3,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
69,1,4,1160.540574,2.17,3,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
70,4,0,1160.540574,2.25,3,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
71,4,4,1160.540574,2.33,3,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
72,4,4,1160.540574,2.5,3,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
73,1,1,1160.540574,2.17,3,5956,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
74,1,4,1160.540574,2.08,3,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
75,1,4,1160.540574,2.17,3,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
76,2,5,1160.540574,2.17,3,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
77,2,5,1160.540574,2.25,3,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
78,2,5,1160.540574,2.17,3,6375,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
79,2,5,1160.540574,2.17,3,6060,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
80,2,5,1160.540574,2.25,3,6690,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
81,0,2,1160.540574,2.25,3,6532,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
82,5,5,1160.540574,2.25,3,6532,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
83,4,0,1160.540574,2.33,3,7005,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
84,2,2,1160.540574,2.0,3,6795,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
85,0,2,1160.540574,2.25,3,7110,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
86,4,0,1160.540574,2.17,3,7845,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
87,2,5,1160.540574,2.17,3,8055,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
88,2,2,1160.540574,2.17,3,8370,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
89,0,2,1160.540574,2.25,3,8370,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
90,0,2,1160.540574,2.17,3,9525,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
91,0,2,1160.540574,2.17,3,12780,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
92,5,5,1160.540574,2.17,3,15720,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
93,2,5,1160.540574,2.33,3,15720,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
94,5,5,1160.540574,2.25,3,15720,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
95,2,5,1160.540574,2.17,4,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
96,1,4,1160.540574,2.25,4,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
97,1,4,1160.540574,2.33,4,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
98,1,4,1160.540574,2.33,4,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
99,2,5,1160.540574,2.33,4,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
100,2,5,1160.540574,2.33,4,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
101,0,2,1160.540574,2.17,4,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
102,0,2,1160.540574,2.17,4,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
103,2,5,1160.540574,2.17,4,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
104,4,0,1160.540574,2.25,4,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
105,2,5,1160.540574,2.25,4,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
106,4,0,1160.540574,2.33,4,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
